"ブランドID","ブランド名","制限"
"173","D SQUARED2(ディースクエアード)",""
"174","D&G(ディーアンドジー)",""
"175","Darimeya(ダリメヤ)",""
"176","DIANE von FURSTENBERG(ダイアンフォンファステンバーグ)",""
"177","DIESEL(ディーゼル)",""
"178","DIOR HOMME(ディオールオム)",""
"179","DISNEY COUTURE(ディズニークチュール)",""
"180","DKNY(ディーケーエヌワイ)",""
"181","Dolce & Gabbana(ドルチェ&ガッバーナ)",""
"182","DRESS CAMP(ドレスキャンプ)",""
"183","DUVETICA(デュベティカ)",""
"184","Ed Hardy(エドハーディー)",""
"185","ella moss(エラモス)",""
"186","PUCCI(プッチ)",""
"187","EMPORIO ARMANI(エンポリオアルマーニ)",""
"188","ETRO(エトロ)",""
"189","FALKE(ファルケ)",""
"190","FENDI(フェンディ)",""
"191","Fossil(フォッシル)",""
"192","Foxy Originals(フォクシーオリジナル)",""
"193","Francesco Biasia(フランチェスコビアジア)",""
"194","Frankie Morello(フランキーモレロ)",""
"195","Free People(フリーピープル)",""
"196","FURLA(フルラ)",""
"197","GAP(ギャップ)",""
"198","GARCIA MARQUEZ gauche(ガルシアマルケスゴーシュ)",""
"199","GERARD DAREL(ジェラールダレル)",""
"200","GIORGIO ARMANI(ジョルジオアルマーニ)",""
"201","GIUSEPPE ZANOTTI(ジュゼッペザノッティ)",""
"202","GOYARD(ゴヤール)",""
"203","GUCCI(グッチ)",""
"204","Guess(ゲス)",""
"206","havaianas(ハワイアナス)",""
"207","Hayden Harnett(ハイデンハーネット)",""
"208","HELEN KAMINSKI(ヘレンカミンスキー)",""
"209","HERITAGE1981(ヘリテージ1981)",""
"210","HERMES(エルメス)",""
"211","HIROKO HAYASHI(ヒロコハヤシ)",""
"212","Honeydew Intimates(ハニーデュー)",""
"213","House of Dereon(ハウスオブデレオン)",""
"214","House of Holland(ハウスオブホランド)",""
"215","HUNTER(ハンター)",""
"216","IL BISONTE(イルビゾンテ)",""
"217","Irregular Choice(イレギュラーチョイス)",""
"218","J BRAND(ジェイブランド)",""
"219","JACQUES LE CORRE(ジャックルコー)",""
"220","JAMIN PUECH(ジャマンピュエッシュ)",""
"221","Jeffrey Campbell(ジェフリーキャンベル)",""
"222","Jessica Simpson(ジェシカシンプソン)",""
"223","JILLSTUART(ジルスチュアート)",""
"224","Jimmy Choo(ジミーチュウ)",""
"225","JOHN SMEDLEY(ジョンスメドレー)",""
"226","JOSEPH(ジョゼフ)",""
"227","Jovovich-Hawk(ジョヴォヴィッチホーク)",""
"228","Juliana Jabour(ジュリアナジャボール)",""
"229","Junior Drake(ジュニアドレイク)",""
"230","KAREN WALKER(カレンウォーカー)",""
"231","Karen Zambos(カレンザンボス)",""
"232","kate spade new york(ケイトスペード)",""
"233","Kenneth Jay Lane(ケネスジェイレーン)",""
"234","kitson(キットソン)",""
"235","Kooba(クーバ)",""
"236","L.A.M.B(ラム)",""
"237","LACOSTE(ラコステ)",""
"238","LANVIN(ランバン)",""
"239","L'AUTRE CHOSE(ロートルショーズ)",""
"240","LAVENHAM(ラベンハム)",""
"241","LeSportsac(レスポートサック)",""
"242","Levi's(リーバイス)",""
"243","LOEWE(ロエベ)",""
"244","Lollipops(ロリポップス)",""
"245","Longchamp(ロンシャン)",""
"246","Louis Vuitton(ルイヴィトン)","有り"
"247","Love From Australia(ラブフロムオーストラリア)",""
"248","Luella(ルエラ)",""
"249","Lulu Guinness(ルルギネス)",""
"250","MACKINTOSH(マッキントッシュ)",""
"251","Maison Margiela(メゾン マルジェラ)",""
"252","MANGO(マンゴ)",""
"253","Manolo Blahnik(マノロブラニク)",""
"254","Manoush(マヌーシュ)",""
"255","Marc by Marc Jacobs(マークバイマークジェイコブス)",""
"256","MARC JACOBS(マークジェイコブス)",""
"257","Max&Co.(マックス&コー)",""
"258","Max Mara(マックスマーラ)",""
"259","McQ(マックキュー)",""
"260","Melie Bianco(メリービアンコ)",""
"261","Michael Kors(マイケルコース)",""
"262","MICHEL KLEIN(ミッシェルクラン)",""
"263","Milly(ミリー)",""
"264","mina perhonen(ミナペルホネン)",""
"265","Miss Selfridge(ミスセルフリッジ)",""
"266","MISS SIXTY(ミスシックスティ)",""
"267","MiuMiu(ミュウミュウ)",""
"268","Mou(ムー)",""
"269","Mulberry(マルベリー)",""
"270","MZ WALLACE(エムジーウォレス)",""
"271","NATORI(ナトリ)",""
"272","Necessary Clothing(ネセサリークロージング)",""
"273","New Look(ニュールック)",""
"274","Nicole Miller(ニコルミラー)",""
"275","Nike(ナイキ)",""
"276","Nine West(ナインウエスト)",""
"277","nolita(ノリータ)",""
"278","oh DEER!(オーディアー)",""
"279","Old Navy(オールドネイビー)",""
"280","Orcival(オーシバル)",""
"281","Oscar de la Renta(オスカーデラレンタ)",""
"282","PAUL & JOE(ポール&ジョー)",""
"283","PAUL & JOE sister(ポール&ジョーシスター)",""
"284","Paul Frank(ポールフランク)",""
"285","Paul Smith(ポールスミス)",""
"286","Pepe Jeans London(ぺぺジーンズロンドン)",""
"287","PETIT BATEAU(プチバトー)",""
"288","Petro Zillia(ペトロジリア)",""
"289","Pierre Hardy(ピエールアルディー)",""
"290","PRADA(プラダ)",""
"291","Primark(プライマーク)",""
"292","PRIMP(プリンプ)",""
"293","Proenza Schouler(プロエンザスクーラー)",""
"294","PROMOD(プロモード)",""
"295","PUMA(プーマ)",""
"296","Q-pot.(キューポット)",""
"297","Rafe New York(ラフェニューヨーク)",""
"298","ras(ラス)",""
"299","Rebecca Minkoff(レベッカミンコフ)",""
"300","rebecca taylor(レベッカテイラー)",""
"301","ROXY(ロキシー)",""
