"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"210","21cm以下","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"215","21.5cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"220","22cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"225","22.5cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"230","23cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"235","23.5cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"240","24cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"245","24.5cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"250","25cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"255","25.5cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"260","26cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"265","26.5cm","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"270","27cm以上","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"210","21cm以下","3081","スニーカー","レディースファッション/靴・シューズ"
"215","21.5cm","3081","スニーカー","レディースファッション/靴・シューズ"
"220","22cm","3081","スニーカー","レディースファッション/靴・シューズ"
"225","22.5cm","3081","スニーカー","レディースファッション/靴・シューズ"
"230","23cm","3081","スニーカー","レディースファッション/靴・シューズ"
"235","23.5cm","3081","スニーカー","レディースファッション/靴・シューズ"
"240","24cm","3081","スニーカー","レディースファッション/靴・シューズ"
"245","24.5cm","3081","スニーカー","レディースファッション/靴・シューズ"
"250","25cm","3081","スニーカー","レディースファッション/靴・シューズ"
"255","25.5cm","3081","スニーカー","レディースファッション/靴・シューズ"
"260","26cm","3081","スニーカー","レディースファッション/靴・シューズ"
"265","26.5cm","3081","スニーカー","レディースファッション/靴・シューズ"
"270","27cm以上","3081","スニーカー","レディースファッション/靴・シューズ"
"210","21cm以下","3082","パンプス","レディースファッション/靴・シューズ"
"215","21.5cm","3082","パンプス","レディースファッション/靴・シューズ"
"220","22cm","3082","パンプス","レディースファッション/靴・シューズ"
"225","22.5cm","3082","パンプス","レディースファッション/靴・シューズ"
"230","23cm","3082","パンプス","レディースファッション/靴・シューズ"
"235","23.5cm","3082","パンプス","レディースファッション/靴・シューズ"
"240","24cm","3082","パンプス","レディースファッション/靴・シューズ"
"245","24.5cm","3082","パンプス","レディースファッション/靴・シューズ"
"250","25cm","3082","パンプス","レディースファッション/靴・シューズ"
"255","25.5cm","3082","パンプス","レディースファッション/靴・シューズ"
"260","26cm","3082","パンプス","レディースファッション/靴・シューズ"
"265","26.5cm","3082","パンプス","レディースファッション/靴・シューズ"
"270","27cm以上","3082","パンプス","レディースファッション/靴・シューズ"
"210","21cm以下","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"215","21.5cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"220","22cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"225","22.5cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"230","23cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"235","23.5cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"240","24cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"245","24.5cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"250","25cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"255","25.5cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"260","26cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"265","26.5cm","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"270","27cm以上","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"210","21cm以下","3084","ロングブーツ","レディースファッション/ブーツ"
"215","21.5cm","3084","ロングブーツ","レディースファッション/ブーツ"
"220","22cm","3084","ロングブーツ","レディースファッション/ブーツ"
"225","22.5cm","3084","ロングブーツ","レディースファッション/ブーツ"
"230","23cm","3084","ロングブーツ","レディースファッション/ブーツ"
"235","23.5cm","3084","ロングブーツ","レディースファッション/ブーツ"
"240","24cm","3084","ロングブーツ","レディースファッション/ブーツ"
"245","24.5cm","3084","ロングブーツ","レディースファッション/ブーツ"
"250","25cm","3084","ロングブーツ","レディースファッション/ブーツ"
"255","25.5cm","3084","ロングブーツ","レディースファッション/ブーツ"
"260","26cm","3084","ロングブーツ","レディースファッション/ブーツ"
"265","26.5cm","3084","ロングブーツ","レディースファッション/ブーツ"
"270","27cm以上","3084","ロングブーツ","レディースファッション/ブーツ"
"210","21cm以下","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"215","21.5cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"220","22cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"225","22.5cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"230","23cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"235","23.5cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"240","24cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"245","24.5cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"250","25cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"255","25.5cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"260","26cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"265","26.5cm","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"270","27cm以上","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"210","21cm以下","3086","レインブーツ","レディースファッション/ブーツ"
"215","21.5cm","3086","レインブーツ","レディースファッション/ブーツ"
"220","22cm","3086","レインブーツ","レディースファッション/ブーツ"
"225","22.5cm","3086","レインブーツ","レディースファッション/ブーツ"
"230","23cm","3086","レインブーツ","レディースファッション/ブーツ"
"235","23.5cm","3086","レインブーツ","レディースファッション/ブーツ"
"240","24cm","3086","レインブーツ","レディースファッション/ブーツ"
"245","24.5cm","3086","レインブーツ","レディースファッション/ブーツ"
"250","25cm","3086","レインブーツ","レディースファッション/ブーツ"
"255","25.5cm","3086","レインブーツ","レディースファッション/ブーツ"
"260","26cm","3086","レインブーツ","レディースファッション/ブーツ"
"265","26.5cm","3086","レインブーツ","レディースファッション/ブーツ"
"270","27cm以上","3086","レインブーツ","レディースファッション/ブーツ"
"210","21cm以下","3087","ブーツその他","レディースファッション/ブーツ"
"215","21.5cm","3087","ブーツその他","レディースファッション/ブーツ"
"220","22cm","3087","ブーツその他","レディースファッション/ブーツ"
"225","22.5cm","3087","ブーツその他","レディースファッション/ブーツ"
"230","23cm","3087","ブーツその他","レディースファッション/ブーツ"
"235","23.5cm","3087","ブーツその他","レディースファッション/ブーツ"
"240","24cm","3087","ブーツその他","レディースファッション/ブーツ"
"245","24.5cm","3087","ブーツその他","レディースファッション/ブーツ"
