"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"161","160cm","4511","ベビー用フォーマル・セレモニーウェア","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"170","170cm以上","4511","ベビー用フォーマル・セレモニーウェア","ベビー・キッズ/ベビー服・ファッション用品(～90cm)"
"50","50cm以下","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4513","キッズ用トップス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4514","キッズ用ボトムス","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4515","キッズワンピース・オールインワン","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4516","キッズアウター","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4517","子供用肌着・下着","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4518","キッズスポーツウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4519","子供用レインコート・レイングッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4520","子供用水着・ビーチグッズ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4521","子供用コスチューム・着ぐるみ","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"50","50cm以下","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"60","60cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"65","65cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"70","70cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"75","75cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"80","80cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"85","85cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","90cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"95","95cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"100","100cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"110","110cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"120","120cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"130","130cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"140","140cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"150","150cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"161","160cm","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"170","170cm以上","4522","子供用フォーマル・セレモニーウェア","ベビー・キッズ/子供服・ファッション用品(85cm～)"
"90","9cm以下","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"95","9.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"101","10cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"105","10.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"110","11cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"115","11.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"120","12cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"125","12.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"130","13cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"135","13.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"140","14cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"145","14.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"150","15cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"155","15.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"160","16cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"165","16.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"170","17cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"175","17.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"180","18cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"185","18.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"190","19cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"195","19.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"200","20cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"205","20.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"210","21cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"215","21.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"220","22cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"225","22.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"231","23cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"235","23.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"240","24cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"245","24.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"250","25cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"255","25.5cm","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"260","26cm以上","4524","ベビースニーカー","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"90","9cm以下","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"95","9.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"101","10cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"105","10.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"110","11cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"115","11.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"120","12cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"125","12.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"130","13cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"135","13.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"140","14cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"145","14.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"150","15cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"155","15.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"160","16cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"165","16.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"170","17cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"175","17.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"180","18cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"185","18.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"190","19cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"195","19.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"200","20cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"205","20.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"210","21cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"215","21.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"220","22cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"225","22.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"231","23cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"235","23.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"240","24cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"245","24.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"250","25cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"255","25.5cm","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"260","26cm以上","4525","ベビーバレエシューズ・フラットシューズ","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"90","9cm以下","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"95","9.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"101","10cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"105","10.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"110","11cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"115","11.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"120","12cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"125","12.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"130","13cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"135","13.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"140","14cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"145","14.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"150","15cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"155","15.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"160","16cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"165","16.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"170","17cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"175","17.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"180","18cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"185","18.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"190","19cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"195","19.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"200","20cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"205","20.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"210","21cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"215","21.5cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
"220","22cm","4526","ベビーサンダル","ベビー・キッズ/ベビーシューズ・靴(～14cm)"
