"名前","グループ名","カテゴリID","カテゴリ名","カテゴリパス"
"総丈","エプロン・ポンチョ","3066","ポンチョ・ケープ","レディースファッション/アウター"
"幅","エプロン・ポンチョ","3066","ポンチョ・ケープ","レディースファッション/アウター"
"着丈","トップス袖なし","3067","ダウンベスト","レディースファッション/アウター"
"胸囲","トップス袖なし","3067","ダウンベスト","レディースファッション/アウター"
"ヒール高","シューズ","3080","サンダル・ミュール","レディースファッション/靴・シューズ"
"ヒール高","シューズ","3081","スニーカー","レディースファッション/靴・シューズ"
"ヒール高","シューズ","3082","パンプス","レディースファッション/靴・シューズ"
"ヒール高","シューズ","3083","シューズ・サンダルその他","レディースファッション/靴・シューズ"
"高さ","ブーツ女性","3084","ロングブーツ","レディースファッション/ブーツ"
"ヒール高","ブーツ女性","3084","ロングブーツ","レディースファッション/ブーツ"
"つつ周り","ブーツ女性","3084","ロングブーツ","レディースファッション/ブーツ"
"高さ","ブーツ女性","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"ヒール高","ブーツ女性","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"つつ周り","ブーツ女性","3085","ショートブーツ・ブーティ","レディースファッション/ブーツ"
"高さ","ブーツ女性","3086","レインブーツ","レディースファッション/ブーツ"
"ヒール高","ブーツ女性","3086","レインブーツ","レディースファッション/ブーツ"
"つつ周り","ブーツ女性","3086","レインブーツ","レディースファッション/ブーツ"
"高さ","ブーツ女性","3087","ブーツその他","レディースファッション/ブーツ"
"ヒール高","ブーツ女性","3087","ブーツその他","レディースファッション/ブーツ"
"つつ周り","ブーツ女性","3087","ブーツその他","レディースファッション/ブーツ"
"ヒール高","シューズ","3088","フラットシューズ","レディースファッション/靴・シューズ"
"幅","バッグ持ち手あり","3100","トートバッグ","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3100","トートバッグ","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3100","トートバッグ","レディースファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3100","トートバッグ","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3101","ハンドバッグ","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3101","ハンドバッグ","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3101","ハンドバッグ","レディースファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3101","ハンドバッグ","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3102","エコバッグ","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3102","エコバッグ","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3102","エコバッグ","レディースファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3102","エコバッグ","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3103","かごバッグ","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3103","かごバッグ","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3103","かごバッグ","レディースファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3103","かごバッグ","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手なし","3104","クラッチバッグ","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手なし","3104","クラッチバッグ","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手なし","3104","クラッチバッグ","レディースファッション/バッグ・カバン"
"幅","バッグストラップ","3105","ショルダーバッグ・ポシェット","レディースファッション/バッグ・カバン"
"高さ","バッグストラップ","3105","ショルダーバッグ・ポシェット","レディースファッション/バッグ・カバン"
"マチ","バッグストラップ","3105","ショルダーバッグ・ポシェット","レディースファッション/バッグ・カバン"
"ストラップ","バッグストラップ","3105","ショルダーバッグ・ポシェット","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3106","ボストンバッグ","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3106","ボストンバッグ","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3106","ボストンバッグ","レディースファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3106","ボストンバッグ","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手なし","3107","バックパック・リュック","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手なし","3107","バックパック・リュック","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手なし","3107","バックパック・リュック","レディースファッション/バッグ・カバン"
"幅","バッグ持ち手あり","3108","バッグ・カバンその他","レディースファッション/バッグ・カバン"
"高さ","バッグ持ち手あり","3108","バッグ・カバンその他","レディースファッション/バッグ・カバン"
"マチ","バッグ持ち手あり","3108","バッグ・カバンその他","レディースファッション/バッグ・カバン"
"持ち手","バッグ持ち手あり","3108","バッグ・カバンその他","レディースファッション/バッグ・カバン"
"縦","財布系","3111","折りたたみ財布","レディースファッション/財布・小物"
"横","財布系","3111","折りたたみ財布","レディースファッション/財布・小物"
"厚み","財布系","3111","折りたたみ財布","レディースファッション/財布・小物"
"縦","財布系","3112","コインケース・小銭入れ","レディースファッション/財布・小物"
"横","財布系","3112","コインケース・小銭入れ","レディースファッション/財布・小物"
"厚み","財布系","3112","コインケース・小銭入れ","レディースファッション/財布・小物"
"縦","財布系","3113","カードケース・名刺入れ","レディースファッション/財布・小物"
"横","財布系","3113","カードケース・名刺入れ","レディースファッション/財布・小物"
"厚み","財布系","3113","カードケース・名刺入れ","レディースファッション/財布・小物"
"縦","財布系","3114","財布・小物その他","レディースファッション/財布・小物"
"横","財布系","3114","財布・小物その他","レディースファッション/財布・小物"
"厚み","財布系","3114","財布・小物その他","レディースファッション/財布・小物"
"長さ","ネックレス","3120","ネックレス・ペンダント","レディースファッション/アクセサリー"
"トップ縦","ネックレス","3120","ネックレス・ペンダント","レディースファッション/アクセサリー"
"トップ横","ネックレス","3120","ネックレス・ペンダント","レディースファッション/アクセサリー"
"縦","イヤリング","3121","ピアス","レディースファッション/アクセサリー"
"横","イヤリング","3121","ピアス","レディースファッション/アクセサリー"
"幅","指輪","3122","指輪・リング","レディースファッション/アクセサリー"
"円周","指輪","3122","指輪・リング","レディースファッション/アクセサリー"
"幅","腕時計","3126","アナログ腕時計","レディースファッション/腕時計"
"手首周り","腕時計","3126","アナログ腕時計","レディースファッション/腕時計"
"文字盤縦","腕時計","3126","アナログ腕時計","レディースファッション/腕時計"
"文字盤横","腕時計","3126","アナログ腕時計","レディースファッション/腕時計"
"幅","腕時計","3127","デジタル腕時計","レディースファッション/腕時計"
"手首周り","腕時計","3127","デジタル腕時計","レディースファッション/腕時計"
"文字盤縦","腕時計","3127","デジタル腕時計","レディースファッション/腕時計"
"文字盤横","腕時計","3127","デジタル腕時計","レディースファッション/腕時計"
"幅","腕時計","3128","腕時計その他","レディースファッション/腕時計"
"手首周り","腕時計","3128","腕時計その他","レディースファッション/腕時計"
"文字盤縦","腕時計","3128","腕時計その他","レディースファッション/腕時計"
"文字盤横","腕時計","3128","腕時計その他","レディースファッション/腕時計"
"幅","ブレスレット","3129","ブレスレット","レディースファッション/アクセサリー"
